"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MSG","MSG Networks Inc.","181.84","$4.45B","2015","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/msg",
"MSGN","MSG Networks Inc.","16.16","$1.21B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/msgn",
"MLI","Mueller Industries, Inc.","34.34","$1.96B","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mli",
"MWA","MUELLER WATER PRODUCTS","11.65","$1.88B","2006","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mwa",
"MPSX","Multi Packaging Solutions International Limited","14.64","$1.13B","2015","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/mpsx",
"MUR","Murphy Oil Corporation","27.8","$4.79B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mur",
"MUSA","Murphy USA Inc.","77.06","$3.04B","2013","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/musa",
"MVO","MV Oil Trust","5.94","$68.31M","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mvo",
"MVC","MVC Capital, Inc.","8.05","$182.76M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mvc",
"MVCB","MVC Capital, Inc.","25.2205","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mvcb",
"MYE","Myers Industries, Inc.","15.27","$452.28M","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/mye",
"NBR","Nabors Industries Ltd.","9.12","$2.57B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbr",
"NC","NACCO Industries, Inc.","58.69","$403.74M","n/a","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/nc",
"NTP","Nam Tai Property Inc.","5.36","$196.71M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/ntp",
"NBHC","National Bank Holdings Corporation","20.21","$601.17M","2012","Finance","Major Banks","http://www.nasdaq.com/symbol/nbhc",
"NFG","National Fuel Gas Company","55.37","$4.7B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/nfg",
"NGG","National Grid Transco, PLC","73.05","$57.33B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ngg",
"NHI","National Health Investors, Inc.","76.68","$2.95B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nhi",
"NOV","National Oilwell Varco, Inc.","31.27","$11.79B","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nov",
"NPK","National Presto Industries, Inc.","91.71","$636.87M","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/npk",
"NNN","National Retail Properties","51.41","$7.4B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nnn",
"NNN^D","National Retail Properties","26.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nnn^d",
"NNN^E","National Retail Properties","26.62","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nnn^e",
"SID","National Steel Company","3.49","$4.74B","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/sid",
"NSA","National Storage Affiliates Trust","21.66","$498.7M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nsa",
"NSM","Nationstar Mortgage Holdings Inc.","12.14","$1.25B","2012","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nsm",
"NW^C","Natl Westminster Pfd","26.21","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/nw^c",
"NGS","Natural Gas Services Group, Inc.","24.64","$316.97M","2002","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ngs",
"NGVC","Natural Grocers by Vitamin Cottage, Inc.","13.49","$303.57M","2012","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/ngvc",
"NRP","Natural Resource Partners LP","23.68","$288.9M","2002","Energy","Coal Mining","http://www.nasdaq.com/symbol/nrp",
"NTZ","Natuzzi, S.p.A.","1.51","$82.83M","1993","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/ntz",
"NLS","Nautilus Group, Inc. (The)","18.79","$583.1M","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/nls",
"NCI","Navigant Consulting, Inc.","19.95","$950.36M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/nci",
"NVGS","Navigator Holdings Ltd.","9.71","$538.19M","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nvgs",
"NNA","Navios Maritime Acquisition Corporation","1.55","$233.87M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nna",
"NM","Navios Maritime Holdings Inc.","1.03","$112.8M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nm",
"NM^G","Navios Maritime Holdings Inc.","6.007","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nm^g",
"NM^H","Navios Maritime Holdings Inc.","5.76","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nm^h",
"NAP","Navios Maritime Midstream Partners LP","12.8","$259.56M","2014","n/a","n/a","http://www.nasdaq.com/symbol/nap",
"NMM","Navios Maritime Partners LP","1.45","$120.47M","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nmm",
"NAV","Navistar International Corporation","13.13","$1.07B","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/nav",
"NAV^D","Navistar International Corporation","4.02","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/nav^d",
"NCS","NCI Building Systems, Inc.","17.1","$1.25B","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/ncs",
"NCR","NCR Corporation","32.03","$3.97B","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/ncr",
"NP","Neenah Paper, Inc.","75.83","$1.27B","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/np",
"NEFF","Neff Corporation","10.45","$255.45M","2014","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/neff",
"NNI","Nelnet, Inc.","40.27","$1.71B","2003","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nni",
